id,name
30096414,"percy
editor
webstorm
plugin
update
"
30095901,"hepius
call
transcription
sentiment
analysis
dockerize
deployment
step
update
"
30095822,"challenge
service
add
user
detail
challenge
detail
api
"
30097728,"hepius
call
transcription
analysis
agent
detail
"
30095703,"sia
smart
investment
advisor
data
preparation
"
30095687,"switch
tool
update
payout
message
offer
screen
email
template
"
30095559,"automate
test
python
challenge
skype
business
"
30095558,"automate
test
python
challenge
skype
business
"
30095557,"automate
test
python
challenge
onenote
"
30095556,"automate
test
python
challenge
onenote
"
30095554,"automate
test
python
challenge
powerpoint
"
30095553,"automate
test
python
challenge
word
"
30095551,"automate
test
python
challenge
excel
"
30095552,"automate
test
python
challenge
word
"
30095546,"automate
test
python
challenge
excel
"
30095596,"switch
tool
ui
issue
fix
"
30095563,"topcoder
connect
redesign
metadata
sidebar
"
30095550,"switch
tool
fix
documentation
"
30095549,"switch
tool
ensure
sent
email
display
correctly
"
30095514,"topcoder
connect
redesign
notification
sidebar
fix
"
30095498,"topcoder
resource
api
update
resourcerole
model
"
30095466,"switch
tool
back
button
category
storage
"
30095394,"performance
showdown
app
cache
experiment
"
30095373,"tosca
add
grid
canvas
"
30095272,"switch
tool
extract
previous
bill
summary
"
30095270,"performance
showdown
angular
app
performance
report
"
30095173,"topcoder
connect
redesign
user
sidebar
"
30095109,"performance
showdown
app
performance
boost
"
30095106,"quartz
energy
overburden
calculator
api
challenge
"
30095105,"quartz
energy
api
"
30095004,"quartz
energy
unit
converter
api
update
"
30095006,"topcoder
project
service
multiple
invitation
email
"
30095005,"topcoder
connect
redesign
setting
sidebar
"
30095130,
30094664,"switch
tool
bill
parser
fix
device
parsing
"
30094663,"switch
tool
bill
parser
feature
parse
update
"
30094661,"rtc
data
quality
setup
"
30094980,"topcoder
profile
ui
fix
"
30094657,"performance
showdown
create
hapi
nest
apis
"
30094649,"performance
showdown
prepare
data
redis
mongodb
"
30094583,"best
practice
swagger
new
admin
web
endpoint
"
30094534,"topcoder
connect
redesign
sidebar
"
30094462,"reactjs
app
fix
checkmarx
issue
nodejs
server
"
30094247,"project
teckedin
make
private
page
publicly
available
"
30094216,"project
teckedin
introduce
new
filter
"
30094113,"topcoder
project
service
milestone
status
history
"
30094095,"quartz
energy
electrical
property
converter
api
update
"
30094001,"hestia
control
center
backend
api
update
import
api
support
xlsx
file
column
validation
"
30093946,"quartz
energy
burden
calculator
la
file
"
30093923,"topcoder
connect
product
template
update
"
30093924,"jira
dashboard
burndown
chart
api
"
30093823,"medium
library
persistence
layer
use
docker
"
30093817,"quartz
energy
xrd
service
rename
endpoint
"
30093802,"hepius
call
transcription
sentiment
analysis
rest
api
specification
challenge
"
30093711,"hepius
call
transcription
sentiment
analysis
rest
api
specification
challenge
"
30093610,"hestia
control
center
backend
api
support
java
"
30093475,"alta
ski
public
task
scheduler
fix
"
30093590,"topcoder
connect
wizard
skill
question
use
api
"
30093414,"topcoder
fix
member
profile
page
load
issue
"
30093329,"topcoder
fix
submission
creation
date
legacy
processor
"
30093251,"topcoder
connect
metadata
fix
create
duplicate
issue
"
30093183,"topcoder
fix
fail
test
submission
review
api
"
30093838,"service
theater
extension
backend
dev
sprint
integrate
authentication
api
"
30093107,"topcoder
connect
metadata
milestone
template
"
30093043,"topcoder
activate
animation
load
placeholder
listing
page
"
30093231,"umdf
reasonable
cost
model
code
enhancement
challenge
"
30092990,"topcoder
public
challenge
load
direct
url
"
30092902,"project
spark
update
pagination
behaviour
"
